"4042814: How many previous semesters of college have you completed?
Do not count previous summer semesters or time as a high school student, even if you took some college courses then. Do count any semesters post high school, whether at UW-Madison, another 2- or 4-year college, or a community college, for example.",4042815: Are you a declared computer science major?,4042816: Are you a declared statistics major?,4042817: Are you a declared data science major?,4042818: How many previous college-level computer programming courses have you taken? You may count AP courses or other high school courses for which you received college credit.,4043067: How many previous college-level statistics courses have you taken? You may count AP courses or other high school courses for which you received college credit.,4043071: How much experience with R or RStudio do you have?,4043072: What is your experience writing code from the tidyverse packages ggplot2 and dplyr?,"4043073: If you could have one of the following super powers, which would you choose?",4043074: Pick a number between 0 and 9.,4043075: Which of the Seven Dwarfs from Snow White are you most like?,"4043076: On average, how many hours of sleep do you get each night?","4043079: During a typical week, how many hours do you spend exercising?","4043080: During a typical week, how many hours do you spend watching television/movies?"
0,No,No,No,4 or more,1,None,None,Ability to become invisible,7,Sleepy,7,7,7
3-4,No,No,Yes,2,0,None,"I recognize code from these packages, but cannot write it well",Ability to fly,2,Grumpy,7,4,8
1-2,No,No,No,2,0,None,None,Ability to become invisible,8,Sleepy,7,6,2
5-6,No,No,No,1,4 or more,Very little,None,Ability to fly,8,Bashful,6,6,5
3-4,No,No,No,0,0,None,None,Ability to fly,8,Doc,8,4,5
5-6,No,No,Yes,3,1,None,None,Ability to fly,8,Sleepy,6,8,0
3-4,No,No,No,1,2,None,None,Ability to fly,6,Dopey,7,5,10
5-6,No,No,No,1,3,None,None,Ability to become invisible,9,Grumpy,5,6,3
3-4,Yes,No,Yes,2,0,Very little,None,Ability to become invisible,7,Happy,7,10,2
1-2,No,No,No,2,0,None,"I recognize code from these packages, but cannot write it well",Ability to fly,7,Happy,6,14,3
1-2,No,No,No,3,0,None,None,Ability to become invisible,8,Dopey,5,3,35
3-4,Yes,No,Yes,0,0,None,None,Ability to become invisible,1,Happy,7,0,3
1-2,No,No,No,2,1,None,None,Ability to fly,7,Grumpy,7,5,15
3-4,Yes,No,No,0,0,None,None,Ability to fly,8,NA,8,2,NA
5-6,No,Yes,No,3,3,Very little,None,Ability to become invisible,4,NA,8,0,0
1-2,No,No,No,1,0,None,"I recognize code from these packages, but cannot write it well",Ability to fly,7,Happy,6,2,6
1-2,No,No,No,1,0,Very little,None,Ability to become invisible,6,Happy,7,2,10
1-2,No,No,No,0,2,None,None,Ability to fly,7,Happy,8,2,2
3-4,No,No,Yes,3,0,None,None,Ability to become invisible,7.3,Sneezy,4,5,9
3-4,No,No,No,0,0,None,None,Ability to become invisible,7,Sleepy,8,2,10
1-2,No,No,No,1,0,None,None,Ability to become invisible,9,Sleepy,7,8,1
3-4,No,Yes,No,1,2,None,None,Ability to become invisible,3,NA,6,0,20
5-6,No,No,Yes,2,1,None,None,Ability to fly,7,Happy,8,6,8
5-6,No,No,Yes,4 or more,0,None,None,Ability to fly,7,Sleepy,7,4,10
1-2,No,No,No,2,0,None,None,Ability to become invisible,3,Happy,6,15,2
3-4,No,No,Yes,2,0,None,None,Ability to become invisible,2,Bashful,7,3,3
3-4,No,No,Yes,1,1,None,None,Ability to become invisible,3,Happy,6,1,2
1-2,Yes,Yes,No,2,1,None,None,Ability to fly,2,Sleepy,7,4,3
3-4,Yes,No,Yes,4 or more,1,None,None,Ability to become invisible,7,Sleepy,6,2,4
3-4,No,No,Yes,1,1,Very little,None,Ability to become invisible,7,Sleepy,8,3,2
3-4,Yes,No,No,4 or more,0,None,None,Ability to fly,9,Doc,8,0,10
1-2,Yes,No,Yes,3,0,None,None,Ability to fly,5,Happy,8,3,8
3-4,No,No,No,0,0,Very little,None,Ability to fly,7,Sleepy,6,1,10
1-2,No,Yes,No,3,1,None,None,Ability to become invisible,6,Happy,8,3,3
3-4,No,No,No,0,1,None,None,Ability to fly,8,Happy,8,7,10
3-4,No,No,Yes,3,0,None,None,Ability to become invisible,6,Sleepy,6,3,0
5-6,Yes,No,Yes,4 or more,1,None,"I recognize code from these packages, but cannot write it well",Ability to fly,7,Happy,6,3,10
